Shipment ID	FBA15T9SBKC9
Name	FBA (11/10/20, 9:26 PM) - 2
Plan ID	PLN365WZCM
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	22
Total Units	279
shipment-total-cases	22
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B064-1	Chardin Home – Emilia Rug: Handwoven Durable Textured Rug for Bathroom, Kitchen, entryway, Bedroom & More. Heavy ant-Skid Latex Sprayed Backing. Size-27''x45'', Blue	B08MB1YT45	X002P3QEBF		New	"--"	"--"	Merchant	8	1	8
B064-2	Chardin Home – Emilia Rug: Handwoven Durable Textured Rug for Bathroom, Kitchen, entryway, Bedroom & More. Heavy ant-Skid Latex Sprayed Backing. 27''x45'', Spice	B08M9ZWR6W	X002P3NJQN		New	"--"	"--"	Merchant	8	1	8
B064-3	Chardin Home – Emilia Rug: Handwoven Durable Textured Rug for Bathroom, Kitchen, entryway, Bedroom & More. Heavy ant-Skid Latex Sprayed Backing. 27''x45'', Natural	B08MB2SCDG	X002P3FQ23		New	"--"	"--"	Merchant	8	1	8
B064-4	Chardin Home – Emilia Rug: Handwoven Durable Textured Rug for Bathroom, Kitchen, entryway, Bedroom & More. Heavy ant-Skid Latex Sprayed Backing. 27''x45'', Brown	B08M9P4PV2	X002P3FQP5		New	"--"	"--"	Merchant	8	1	8
B064-5	Chardin Home – Emilia Rug: Handwoven Durable Textured Rug for Bathroom, Kitchen, entryway, Bedroom & More. Heavy ant-Skid Latex Sprayed Backing. 27''x45'', Charcoal	B08MB2ZRJ5	X002P3FQ9V		New	"--"	"--"	Merchant	8	1	8
B064-6	Chardin Home – Emilia Rug: Handwoven Durable Textured Rug for Bathroom, Kitchen, entryway, Bedroom & More. Heavy ant-Skid Latex Sprayed Backing. 27''x45'', Seagrass	B08MB2WR61	X002P3NJB3		New	"--"	"--"	Merchant	8	1	8
B065-1	Chardin Home – Emilia Rug: Handwoven Durable Textured Rug for Bathroom, Kitchen, entryway, Bedroom & More. Heavy ant-Skid Latex Sprayed Backing. 20''x32'', Blue	B08MBV4P59	X002P4NX7H		New	"--"	"--"	Merchant	14	1	14
B065-3	Chardin Home – Emilia Rug: Handwoven Durable Textured Rug for Bathroom, Kitchen, entryway, Bedroom & More. Heavy ant-Skid Latex Sprayed Backing. 20''x32'', Natural	B08MBVMJV8	X002P4K7QR		New	"--"	"--"	Merchant	14	1	14
B065-4	Chardin Home – Emilia Rug: Handwoven Durable Textured Rug for Bathroom, Kitchen, entryway, Bedroom & More. Heavy ant-Skid Latex Sprayed Backing. 20''x32'', Brown	B08MBWLJNH	X002P4QC8T		New	"--"	"--"	Merchant	14	1	14
B065-5	Chardin Home – Emilia Rug: Handwoven Durable Textured Rug for Bathroom, Kitchen, entryway, Bedroom & More. Heavy ant-Skid Latex Sprayed Backing. 20''x32'', Charcoal	B08MBXFFQL	X002P4K80H		New	"--"	"--"	Merchant	14	1	14
B065-6	Chardin Home – Emilia Rug: Handwoven Durable Textured Rug for Bathroom, Kitchen, entryway, Bedroom & More. Heavy ant-Skid Latex Sprayed Backing. 20''x32'', Seagrass	B08MBX8SWB	X002P4NXQN		New	"--"	"--"	Merchant	14	1	14
PM024-1	Chardin home Royal Jute Silk Natural Jute/Polyester Placemats (Set of 4 mats). Size: 13" X 19".	B08LZ6RDBN	X002OYST1X		New	"--"	"--"	Merchant	20	1	20
PM025-1	Chardin home Global Stripe Eco-Friendly Jute Placemats (Set of 4 mats). Size: 13" X 19".	B08LVT4M5Z	X002OWJBXZ		New	"--"	"--"	Merchant	20	1	20
PM025-2	Chardin home-Global Stripe Eco-Friendly Jute Placemats (Set of 4 mats). Size: 13" X 19".	B08LVWZHZ9	X002OWKFBR		New	"--"	"--"	Merchant	20	1	20
PM026-1	Chardin home – Morocco – 100% Cotton Placemats for Dinner Parties, Picnics, Special Occasions and Everyday use – Size: 13”X19, Blue-Gray, Set of 4	B08LVWQN1W	X002OWJBQ7		New	"--"	"--"	Merchant	12	1	12
PM027-1	Chardin home – Waves Holiday – 100% Cotton Placemats for Dinner Parties, Picnics, Special Occasions and Everyday use – Size: 13”X19, White-Red, Set of 4	B08LYQBP7F	X002OYPF33		New	"--"	"--"	Merchant	11	1	11
R079-1	Chardin Home – Eco Friendly Annabell Rug : 100% Recycled Denim & Cotton, Size: 2'x3', Color Denim Blue/Off White.	B08LZC5D56	X002OYJK6B		New	"--"	"--"	Merchant	13	1	13
R084-1	Chardin Home – Izzy Runner –Recycled Polyester Blend fibers and Sustainable Jute Textured Area Rugs. Size: 2'x6', Color: Jute/Off White	B08MFCXR2R	X002P6FG4N		New	"--"	"--"	Merchant	5	1	5
R086-1	Chardin Home – South Hampton Rug – Handwoven Wool Collection Area Rugs. Size: 2'x3', Color: Multi	B08MF4J563	X002P69BIZ		New	"--"	"--"	Merchant	14	1	14
R091-1	Chardin Home – Eco Friendly Mykonos Rug: 100% Recycled Denim & Cotton, Size: 21”x34”, Color Denim Blue/Off White.	B08LZ52VHW	X002OYJJUN		New	"--"	"--"	Merchant	8	1	8
R093-1	Chardin Home – Artesia Rug – 100% Recycled Polyester Fiber Indoor/Outdoor Area Rugs. Size: 2'x3', Color: Teal Green-Ivory	B08MF5PW5P	X002P6AJXL		New	"--"	"--"	Merchant	20	1	20
TR022-1	Chardin home – Lattice Stripe – 100% Cotton Table Runner for Dinner Parties, Picnics, Special Occasions and Everyday use – Size: 13”X72, White-Blue	B08KYKVN65	X002OBBO95		New	"--"	"--"	Merchant	18	1	18
