Shipment ID	FBA15TRJ7581
Name	FBA (11/19/20, 9:16 PM) - 2
Plan ID	PLN370QJG9
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	15
Total Units	265
shipment-total-cases	19
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B003-1	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	"--"	"--"	"--"	12	1	12
B003-4	100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	"--"	"--"	"--"	12	4	48
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	1	12
B028-1	Chardin home Arabella Hand Woven Cotton Accent and Bath Rug Machine Washable, 20'' W x 32" L, Blue/Gray/White	B06WGYNH7L	B06WGYNH7L	EAN : 8902552049112	New	"--"	"--"	"--"	20	1	20
B030-7	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath. Gray-Charcoal, 24" W x 60'' L	B07TLY8PKK	B07TLY8PKK	EAN : 8902552051528	New	"--"	"--"	"--"	8	1	8
B037-7	Chardin Home - 100% Pure Cotton - Crochet Oval Bath Rug with Latex Spray Non-Skid Backing, 21''x34'', White	B08CZLTVVT	X002L2882N	EAN : 8903540506273	New	"--"	"--"	Merchant	20	1	20
B037-8	Chardin Home - 100% Pure Cotton - Crochet Oval Bath Rug with Latex Spray Non-Skid Backing, Mat Size: 21''x34'', Burgundy	B08CZNB42T	X002L287LP	EAN : 8903540506280	New	"--"	"--"	Merchant	20	1	20
B053-1	Chardin home Rainbow Shag Rug, 20" x 30", Denim Blue & White	B07Z3D8P3P	B07Z3D8P3P	EAN : 8902552052235	New	"--"	"--"	"--"	10	1	10
B054-1	Chardin Home - 100% Pure Cotton Maui Bath Rug, 21''x34''- Coastal Blue, Beige & White.	B086MT9B7H	X002I1WCLF	EAN : 0677355168336	New	"--"	"--"	Merchant	12	1	12
PM003	Chardin home Eco Friendly Rainbow Multi Chindi Placemats (Set of 4 mats), Size: 13"x19"	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	"--"	"--"	"--"	16	2	32
PM006-1	Chardin home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13" X 19" (Natural-Aqua Turquoise, 13''x19'')	B07P8DCVLW	B07P8DCVLW	EAN : 8902552051344	New	"--"	"--"	"--"	20	1	20
R002-20	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Taupe-White)	B07TKV11VL	B07TKV11VL	EAN : 8902552051740	New	"--"	"--"	"--"	9	1	9
R022-1	Chardin home Rainbow Shag Rug, 20" x 30", Multi-Colored (Multi)	B07CL7J1MN	B07CL7J1MN	EAN : 8902552050972	New	"--"	"--"	"--"	16	1	16
R049-1	Chardin Home â€“ Eco Friendly Recycled and Reversible rag (chindi) Rug Runner, Grey/White, Size: 2'x5'	B086YXCNYS	X002I65UT1	EAN : 0677355180024	New	"--"	"--"	Merchant	8	1	8
R072-1	Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug (24''x36'')	B08D3NXRW4	X002L40RIT	EAN : 8903540506150	New	"--"	"--"	Merchant	18	1	18
